query,n,median_s,mean_s,min_s,max_s,stdev_s,n_errors
1,1,12.269,12.269,12.269,12.269,0.0,0
7,1,12.711,12.711,12.711,12.711,0.0,0
24,1,171.449,171.449,171.449,171.449,0.0,0
43,1,11.379,11.379,11.379,11.379,0.0,0
