timestamp,label,mode,scope,prefix,reads,logicalBytes,remoteGets,remoteBytes,readAmp,cacheHitRate,policySwitches,fallbackReads,demandClampReads,ioLatencySumNanos,nsPerOp,p50Ns,p95Ns,p99Ns,prefetchGets,prefetchBytes,prefetchUsefulBytes,prefetchWastedBytes,prefetchCancelledBytes
20260812-135620,e3_force_template_multimodal_b256,forced_template_multimodal,all,,11189,2588051441,5898,2162188324,0.8355,0.4729,0,0,0,247593246189,22667655.8,19686355,91955531,124649058,0,0,0,0,0
20260812-135620,e3_force_template_multimodal_b256,forced_template_multimodal,prefix,taxi,659,1064016617,490,801089668,0.7529,0.2564,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260812-135620,e3_force_template_multimodal_b256,forced_template_multimodal,prefix,mm,2785,569189337,1681,448505666,0.7880,0.3964,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260812-135620,e3_force_template_multimodal_b256,forced_template_multimodal,prefix,emb_real,1216,969764,14,1038718,1.0711,0.9885,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260812-135620,e3_force_template_multimodal_b256,forced_template_multimodal,prefix,tpch,1309,295968743,655,121192773,0.4095,0.4996,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260812-135620,e3_force_template_multimodal_b256,forced_template_multimodal,prefix,fmnist,1216,6140828,936,66725232,10.8658,0.2303,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260812-135620,e3_force_template_multimodal_b256,forced_template_multimodal,prefix,sift,1216,3142849,722,48396991,15.3991,0.4063,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260812-135620,e3_force_template_multimodal_b256,forced_template_multimodal,prefix,clickbench,1572,646756165,1358,671919051,1.0389,0.1361,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260812-135620,e3_force_template_multimodal_b256,forced_template_multimodal,prefix,lastfm,1216,1867138,42,3320225,1.7782,0.9655,0,0,0,0,0.0,0,0,0,0,0,0,0,0
