timestamp,label,mode,scope,prefix,reads,logicalBytes,remoteGets,remoteBytes,readAmp,cacheHitRate,policySwitches,fallbackReads,demandClampReads,ioLatencySumNanos,nsPerOp,p50Ns,p95Ns,p99Ns,prefetchGets,prefetchBytes,prefetchUsefulBytes,prefetchWastedBytes,prefetchCancelledBytes
20260812-140813,e4_block_1024KiB,forced_s3a_prefetch,all,,11189,2588051441,4176,5556851143,2.1471,0.6268,0,0,0,224006056726,20564206.4,21974,99037207,133378089,0,0,0,0,0
20260812-140813,e4_block_1024KiB,forced_s3a_prefetch,prefix,taxi,659,1064016617,534,1268115362,1.1918,0.1897,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260812-140813,e4_block_1024KiB,forced_s3a_prefetch,prefix,mm,2785,569189337,1339,1513905619,2.6598,0.5192,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260812-140813,e4_block_1024KiB,forced_s3a_prefetch,prefix,emb_real,1216,969764,1,946065,0.9756,0.9992,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260812-140813,e4_block_1024KiB,forced_s3a_prefetch,prefix,tpch,1309,295968743,287,310825076,1.0502,0.7807,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260812-140813,e4_block_1024KiB,forced_s3a_prefetch,prefix,fmnist,1216,6140828,186,193033765,31.4345,0.8470,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260812-140813,e4_block_1024KiB,forced_s3a_prefetch,prefix,sift,1216,3142849,362,377367188,120.0717,0.7023,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260812-140813,e4_block_1024KiB,forced_s3a_prefetch,prefix,clickbench,1572,646756165,1464,1889459109,2.9214,0.0687,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260812-140813,e4_block_1024KiB,forced_s3a_prefetch,prefix,lastfm,1216,1867138,3,3198959,1.7133,0.9975,0,0,0,0,0.0,0,0,0,0,0,0,0,0
