query,n,median_s,mean_s,min_s,max_s,stdev_s,n_errors
1,1,173.427,173.427,173.427,173.427,0.0,0
7,1,390.477,390.477,390.477,390.477,0.0,1
8,1,219.205,219.205,219.205,219.205,0.0,0
9,1,872.735,872.735,872.735,872.735,0.0,0
10,1,302.14,302.14,302.14,302.14,0.0,1
12,1,235.475,235.475,235.475,235.475,0.0,1
15,1,290.19,290.19,290.19,290.19,0.0,1
17,1,282.347,282.347,282.347,282.347,0.0,0
18,1,274.565,274.565,274.565,274.565,0.0,0
21,1,1496.416,1496.416,1496.416,1496.416,0.0,1
