timestamp,label,mode,scope,prefix,reads,logicalBytes,remoteGets,remoteBytes,readAmp,cacheHitRate,policySwitches,fallbackReads,demandClampReads,ioLatencySumNanos,nsPerOp,p50Ns,p95Ns,p99Ns,prefetchGets,prefetchBytes,prefetchUsefulBytes,prefetchWastedBytes,prefetchCancelledBytes,budgetMiB,prefetchBlockMiB,prefetchDepth,case,costSeconds
20260729-191740,headroom_b128_block1_depth0_passthrough,passthrough,all,,11189,2588051441,11189,2588051441,1.0000,0.0000,0,0,0,6893076134,1082282.4,9729,2802969,12298443,0,0,0,0,0,128,8,8,passthrough,584.1316
20260729-191740,headroom_b128_block1_depth0_passthrough,passthrough,prefix,tpch,1309,295968743,1309,295968743,1.0000,0.0000,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,8,8,passthrough,68.2726
20260729-191740,headroom_b128_block1_depth0_passthrough,passthrough,prefix,taxi,659,1064016617,659,1064016617,1.0000,0.0000,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,8,8,passthrough,43.0973
20260729-191740,headroom_b128_block1_depth0_passthrough,passthrough,prefix,lastfm,1216,1867138,1216,1867138,1.0000,0.0000,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,8,8,passthrough,60.8178
20260729-191740,headroom_b128_block1_depth0_passthrough,passthrough,prefix,mm,2785,569189337,2785,569189337,1.0000,0.0000,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,8,8,passthrough,144.6782
20260729-191740,headroom_b128_block1_depth0_passthrough,passthrough,prefix,clickbench,1572,646756165,1572,646756165,1.0000,0.0000,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,8,8,passthrough,84.7679
20260729-191740,headroom_b128_block1_depth0_passthrough,passthrough,prefix,fmnist,1216,6140828,1216,6140828,1.0000,0.0000,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,8,8,passthrough,60.8586
20260729-191740,headroom_b128_block1_depth0_passthrough,passthrough,prefix,sift,1216,3142849,1216,3142849,1.0000,0.0000,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,8,8,passthrough,60.8300
20260729-191740,headroom_b128_block1_depth0_passthrough,passthrough,prefix,emb_real,1216,969764,1216,969764,1.0000,0.0000,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,8,8,passthrough,60.8092
20260729-191757,headroom_b128_block1_depth0_forced_s3a_random,forced_s3a_random,all,,11189,2588051441,6331,2447110144,0.9455,0.4342,0,0,0,6208371938,1019154.2,169820,2725373,10227965,0,0,0,0,0,128,1,0,forced:s3a_random,339.8875
20260729-191757,headroom_b128_block1_depth0_forced_s3a_random,forced_s3a_random,prefix,tpch,1309,295968743,605,122729226,0.4147,0.5378,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,forced:s3a_random,31.4204
