timestamp,label,mode,scope,prefix,reads,logicalBytes,remoteGets,remoteBytes,readAmp,cacheHitRate,policySwitches,fallbackReads,demandClampReads,ioLatencySumNanos,nsPerOp,p50Ns,p95Ns,p99Ns,prefetchGets,prefetchBytes,prefetchUsefulBytes,prefetchWastedBytes,prefetchCancelledBytes
20260729-170649,headroom_b128_block1_depth0_forced_s3a_prefetch,forced_s3a_prefetch,all,,11189,2588051441,5304,6886706422,2.6610,0.5260,0,0,0,18343424715,1657807.9,21450,4427048,12522555,0,0,0,0,0
20260729-170649,headroom_b128_block1_depth0_forced_s3a_prefetch,forced_s3a_prefetch,prefix,tpch,1309,295968743,628,681389704,2.3022,0.5202,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-170649,headroom_b128_block1_depth0_forced_s3a_prefetch,forced_s3a_prefetch,prefix,taxi,659,1064016617,628,1492627517,1.4028,0.0470,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-170649,headroom_b128_block1_depth0_forced_s3a_prefetch,forced_s3a_prefetch,prefix,lastfm,1216,1867138,3,3198959,1.7133,0.9975,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-170649,headroom_b128_block1_depth0_forced_s3a_prefetch,forced_s3a_prefetch,prefix,mm,2785,569189337,1702,1902654035,3.3427,0.3889,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-170649,headroom_b128_block1_depth0_forced_s3a_prefetch,forced_s3a_prefetch,prefix,clickbench,1572,646756165,1522,1950276517,3.0155,0.0318,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-170649,headroom_b128_block1_depth0_forced_s3a_prefetch,forced_s3a_prefetch,prefix,fmnist,1216,6140828,386,402748965,65.5854,0.6826,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-170649,headroom_b128_block1_depth0_forced_s3a_prefetch,forced_s3a_prefetch,prefix,sift,1216,3142849,434,452864660,144.0937,0.6431,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-170649,headroom_b128_block1_depth0_forced_s3a_prefetch,forced_s3a_prefetch,prefix,emb_real,1216,969764,1,946065,0.9756,0.9992,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-170748,headroom_b128_block1_depth0_forced_template_multimodal,forced_template_multimodal,all,,11189,2588051441,6248,2437913341,0.9420,0.4416,0,0,0,6686862713,616207.7,171674,2951960,11756181,0,0,0,0,0
20260729-170748,headroom_b128_block1_depth0_forced_template_multimodal,forced_template_multimodal,prefix,tpch,1309,295968743,655,121192773,0.4095,0.4996,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-170748,headroom_b128_block1_depth0_forced_template_multimodal,forced_template_multimodal,prefix,taxi,659,1064016617,622,1018688988,0.9574,0.0561,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-170748,headroom_b128_block1_depth0_forced_template_multimodal,forced_template_multimodal,prefix,lastfm,1216,1867138,42,3320225,1.7782,0.9655,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-170748,headroom_b128_block1_depth0_forced_template_multimodal,forced_template_multimodal,prefix,mm,2785,569189337,1899,506631363,0.8901,0.3181,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-170748,headroom_b128_block1_depth0_forced_template_multimodal,forced_template_multimodal,prefix,clickbench,1572,646756165,1358,671919051,1.0389,0.1361,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-170748,headroom_b128_block1_depth0_forced_template_multimodal,forced_template_multimodal,prefix,fmnist,1216,6140828,936,66725232,10.8658,0.2303,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-170748,headroom_b128_block1_depth0_forced_template_multimodal,forced_template_multimodal,prefix,sift,1216,3142849,722,48396991,15.3991,0.4063,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-170748,headroom_b128_block1_depth0_forced_template_multimodal,forced_template_multimodal,prefix,emb_real,1216,969764,14,1038718,1.0711,0.9885,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-170900,headroom_b128_block1_depth0_template_auto,template_auto,all,,11189,2588051441,5860,3184814701,1.2306,0.4763,3400,0,0,8518558645,779350.3,167496,3002986,11578668,0,0,0,0,0
20260729-170900,headroom_b128_block1_depth0_template_auto,template_auto,prefix,tpch,1309,295968743,484,224629141,0.7590,0.6303,610,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-170900,headroom_b128_block1_depth0_template_auto,template_auto,prefix,taxi,659,1064016617,640,1237236093,1.1628,0.0288,282,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-170900,headroom_b128_block1_depth0_template_auto,template_auto,prefix,lastfm,1216,1867138,21,3985391,2.1345,0.9827,21,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-170900,headroom_b128_block1_depth0_template_auto,template_auto,prefix,mm,2785,569189337,1777,787708686,1.3839,0.3619,1069,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-170900,headroom_b128_block1_depth0_template_auto,template_auto,prefix,clickbench,1572,646756165,1321,792863427,1.2259,0.1597,560,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-170900,headroom_b128_block1_depth0_template_auto,template_auto,prefix,fmnist,1216,6140828,917,82266301,13.3966,0.2459,516,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-170900,headroom_b128_block1_depth0_template_auto,template_auto,prefix,sift,1216,3142849,699,55179597,17.5572,0.4252,335,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-170900,headroom_b128_block1_depth0_template_auto,template_auto,prefix,emb_real,1216,969764,1,946065,0.9756,0.9992,7,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-171007,headroom_b128_block1_depth0_decision_tree,decision_tree,all,,11189,2588051441,5595,2882184918,1.1137,0.5000,68,0,0,7610251030,699275.2,98705,2790065,10853521,0,0,0,0,0
20260729-171007,headroom_b128_block1_depth0_decision_tree,decision_tree,prefix,tpch,1309,295968743,605,123161773,0.4161,0.5378,7,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-171007,headroom_b128_block1_depth0_decision_tree,decision_tree,prefix,taxi,659,1064016617,626,1108025771,1.0414,0.0501,19,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-171007,headroom_b128_block1_depth0_decision_tree,decision_tree,prefix,lastfm,1216,1867138,10,3657711,1.9590,0.9918,2,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-171007,headroom_b128_block1_depth0_decision_tree,decision_tree,prefix,mm,2785,569189337,1900,506820730,0.8904,0.3178,13,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-171007,headroom_b128_block1_depth0_decision_tree,decision_tree,prefix,clickbench,1572,646756165,1358,672637033,1.0400,0.1361,18,0,0,0,0.0,0,0,0,0,0,0,0,0
